iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,31233.0
USA,USA,Billion Cubic Feet,Bcf,2014,44599.0
USA,USA,Billion Cubic Feet,Bcf,2013,49131.0
USA,USA,Billion Cubic Feet,Bcf,2012,45167.0
USA,USA,Billion Cubic Feet,Bcf,2011,45909.0
USA,USA,Billion Cubic Feet,Bcf,2010,44783.0
USA,USA,Billion Cubic Feet,Bcf,2009,42139.0
USA,USA,Billion Cubic Feet,Bcf,2008,26687.0
USA,USA,Billion Cubic Feet,Bcf,2007,27107.0
USA,USA,Billion Cubic Feet,Bcf,2006,21778.0
USA,USA,Billion Cubic Feet,Bcf,2005,21050.0
USA,USA,Billion Cubic Feet,Bcf,2004,18198.0
USA,USA,Billion Cubic Feet,Bcf,2003,16454.0
USA,USA,Billion Cubic Feet,Bcf,2002,14769.0
USA,USA,Billion Cubic Feet,Bcf,2001,16380.0
USA,USA,Billion Cubic Feet,Bcf,2000,14787.0
USA,USA,Billion Cubic Feet,Bcf,1999,7043.0
USA,USA,Billion Cubic Feet,Bcf,1998,8197.0
USA,USA,Billion Cubic Feet,Bcf,1997,10585.0
USA,USA,Billion Cubic Feet,Bcf,1996,7757.0
USA,USA,Billion Cubic Feet,Bcf,1995,6843.0
USA,USA,Billion Cubic Feet,Bcf,1994,6941.0
USA,USA,Billion Cubic Feet,Bcf,1993,6103.0
USA,USA,Billion Cubic Feet,Bcf,1992,4675.0
USA,USA,Billion Cubic Feet,Bcf,1991,5090.0
USA,USA,Billion Cubic Feet,Bcf,1990,7952.0
USA,USA,Billion Cubic Feet,Bcf,1989,6339.0
USA,USA,Billion Cubic Feet,Bcf,1988,6803.0
USA,USA,Billion Cubic Feet,Bcf,1987,4587.0
USA,USA,Billion Cubic Feet,Bcf,1986,6065.0
USA,USA,Billion Cubic Feet,Bcf,1985,7169.0
USA,USA,Billion Cubic Feet,Bcf,1984,8299.0
USA,USA,Billion Cubic Feet,Bcf,1983,6909.0
USA,USA,Billion Cubic Feet,Bcf,1982,8349.0
USA,USA,Billion Cubic Feet,Bcf,1981,10491.0
USA,USA,Billion Cubic Feet,Bcf,1980,9357.0
USA,USA,Billion Cubic Feet,Bcf,1979,8950.0
USA,USA,Billion Cubic Feet,Bcf,1978,9582.0
USA,USA,Billion Cubic Feet,Bcf,1977,8129.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,175.0
USA,USA,Billion Cubic Feet,Bcf,2014,204.0
USA,USA,Billion Cubic Feet,Bcf,2013,258.0
USA,USA,Billion Cubic Feet,Bcf,2012,332.0
USA,USA,Billion Cubic Feet,Bcf,2011,94.0
USA,USA,Billion Cubic Feet,Bcf,2010,326.0
USA,USA,Billion Cubic Feet,Bcf,2009,289.0
USA,USA,Billion Cubic Feet,Bcf,2008,903.0
USA,USA,Billion Cubic Feet,Bcf,2007,657.0
USA,USA,Billion Cubic Feet,Bcf,2006,733.0
USA,USA,Billion Cubic Feet,Bcf,2005,642.0
USA,USA,Billion Cubic Feet,Bcf,2004,1193.0
USA,USA,Billion Cubic Feet,Bcf,2003,902.0
USA,USA,Billion Cubic Feet,Bcf,2002,1012.0
USA,USA,Billion Cubic Feet,Bcf,2001,1387.0
USA,USA,Billion Cubic Feet,Bcf,2000,2045.0
USA,USA,Billion Cubic Feet,Bcf,1999,938.0
USA,USA,Billion Cubic Feet,Bcf,1998,1075.0
USA,USA,Billion Cubic Feet,Bcf,1997,1643.0
USA,USA,Billion Cubic Feet,Bcf,1996,1626.0
USA,USA,Billion Cubic Feet,Bcf,1995,1566.0
USA,USA,Billion Cubic Feet,Bcf,1994,1432.0
USA,USA,Billion Cubic Feet,Bcf,1993,1404.0
USA,USA,Billion Cubic Feet,Bcf,1992,654.0
USA,USA,Billion Cubic Feet,Bcf,1991,1051.0
USA,USA,Billion Cubic Feet,Bcf,1990,794.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,31.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,26.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,116.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1978,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1977,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,46.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,27.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1978,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1977,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,69.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,69.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,446.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,96.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,166.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,120.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,51.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,54.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,79.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,200.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,107.0
