iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,1631.0
USA,USA,Billion Cubic Feet,Bcf,2014,2562.0
USA,USA,Billion Cubic Feet,Bcf,2013,1566.0
USA,USA,Billion Cubic Feet,Bcf,2012,376.0
USA,USA,Billion Cubic Feet,Bcf,2011,1227.0
USA,USA,Billion Cubic Feet,Bcf,2010,1668.0
USA,USA,Billion Cubic Feet,Bcf,2009,2598.0
USA,USA,Billion Cubic Feet,Bcf,2008,1622.0
USA,USA,Billion Cubic Feet,Bcf,2007,1188.0
USA,USA,Billion Cubic Feet,Bcf,2006,1155.0
USA,USA,Billion Cubic Feet,Bcf,2005,1208.0
USA,USA,Billion Cubic Feet,Bcf,2004,1206.0
USA,USA,Billion Cubic Feet,Bcf,2003,1610.0
USA,USA,Billion Cubic Feet,Bcf,2002,1694.0
USA,USA,Billion Cubic Feet,Bcf,2001,2800.0
USA,USA,Billion Cubic Feet,Bcf,2000,2368.0
USA,USA,Billion Cubic Feet,Bcf,1999,2196.0
USA,USA,Billion Cubic Feet,Bcf,1998,2162.0
USA,USA,Billion Cubic Feet,Bcf,1997,2382.0
USA,USA,Billion Cubic Feet,Bcf,1996,3110.0
USA,USA,Billion Cubic Feet,Bcf,1995,2452.0
USA,USA,Billion Cubic Feet,Bcf,1994,3480.0
USA,USA,Billion Cubic Feet,Bcf,1993,1866.0
USA,USA,Billion Cubic Feet,Bcf,1992,1724.0
USA,USA,Billion Cubic Feet,Bcf,1991,1604.0
USA,USA,Billion Cubic Feet,Bcf,1990,2412.0
USA,USA,Billion Cubic Feet,Bcf,1989,2243.0
USA,USA,Billion Cubic Feet,Bcf,1988,1909.0
USA,USA,Billion Cubic Feet,Bcf,1987,1499.0
USA,USA,Billion Cubic Feet,Bcf,1986,1771.0
USA,USA,Billion Cubic Feet,Bcf,1985,2960.0
USA,USA,Billion Cubic Feet,Bcf,1984,2686.0
USA,USA,Billion Cubic Feet,Bcf,1983,2965.0
USA,USA,Billion Cubic Feet,Bcf,1982,3419.0
USA,USA,Billion Cubic Feet,Bcf,1981,2998.0
USA,USA,Billion Cubic Feet,Bcf,1980,2577.0
USA,USA,Billion Cubic Feet,Bcf,1979,2566.0
USA,USA,Billion Cubic Feet,Bcf,1978,4579.0
USA,USA,Billion Cubic Feet,Bcf,1977,3301.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,58.0
USA,USA,Billion Cubic Feet,Bcf,2014,94.0
USA,USA,Billion Cubic Feet,Bcf,2013,73.0
USA,USA,Billion Cubic Feet,Bcf,2012,103.0
USA,USA,Billion Cubic Feet,Bcf,2011,76.0
USA,USA,Billion Cubic Feet,Bcf,2010,237.0
USA,USA,Billion Cubic Feet,Bcf,2009,300.0
USA,USA,Billion Cubic Feet,Bcf,2008,532.0
USA,USA,Billion Cubic Feet,Bcf,2007,368.0
USA,USA,Billion Cubic Feet,Bcf,2006,410.0
USA,USA,Billion Cubic Feet,Bcf,2005,546.0
USA,USA,Billion Cubic Feet,Bcf,2004,589.0
USA,USA,Billion Cubic Feet,Bcf,2003,903.0
USA,USA,Billion Cubic Feet,Bcf,2002,901.0
USA,USA,Billion Cubic Feet,Bcf,2001,1359.0
USA,USA,Billion Cubic Feet,Bcf,2000,1027.0
USA,USA,Billion Cubic Feet,Bcf,1999,1171.0
USA,USA,Billion Cubic Feet,Bcf,1998,1070.0
USA,USA,Billion Cubic Feet,Bcf,1997,1342.0
USA,USA,Billion Cubic Feet,Bcf,1996,1746.0
USA,USA,Billion Cubic Feet,Bcf,1995,1677.0
USA,USA,Billion Cubic Feet,Bcf,1994,1697.0
USA,USA,Billion Cubic Feet,Bcf,1993,1145.0
USA,USA,Billion Cubic Feet,Bcf,1992,978.0
USA,USA,Billion Cubic Feet,Bcf,1991,817.0
USA,USA,Billion Cubic Feet,Bcf,1990,1005.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,64.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1978,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1977,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1978,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1977,23.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,14.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,5.0
