iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,29.0
USA,USA,Billion Cubic Feet,Bcf,2014,632.0
USA,USA,Billion Cubic Feet,Bcf,2013,256.0
USA,USA,Billion Cubic Feet,Bcf,2012,762.0
USA,USA,Billion Cubic Feet,Bcf,2011,947.0
USA,USA,Billion Cubic Feet,Bcf,2010,850.0
USA,USA,Billion Cubic Feet,Bcf,2009,1372.0
USA,USA,Billion Cubic Feet,Bcf,2008,1170.0
USA,USA,Billion Cubic Feet,Bcf,2007,796.0
USA,USA,Billion Cubic Feet,Bcf,2006,409.0
USA,USA,Billion Cubic Feet,Bcf,2005,942.0
USA,USA,Billion Cubic Feet,Bcf,2004,759.0
USA,USA,Billion Cubic Feet,Bcf,2003,1222.0
USA,USA,Billion Cubic Feet,Bcf,2002,1332.0
USA,USA,Billion Cubic Feet,Bcf,2001,3578.0
USA,USA,Billion Cubic Feet,Bcf,2000,1983.0
USA,USA,Billion Cubic Feet,Bcf,1999,1568.0
USA,USA,Billion Cubic Feet,Bcf,1998,1074.0
USA,USA,Billion Cubic Feet,Bcf,1997,2681.0
USA,USA,Billion Cubic Feet,Bcf,1996,1451.0
USA,USA,Billion Cubic Feet,Bcf,1995,1666.0
USA,USA,Billion Cubic Feet,Bcf,1994,1894.0
USA,USA,Billion Cubic Feet,Bcf,1993,899.0
USA,USA,Billion Cubic Feet,Bcf,1992,649.0
USA,USA,Billion Cubic Feet,Bcf,1991,848.0
USA,USA,Billion Cubic Feet,Bcf,1990,2004.0
USA,USA,Billion Cubic Feet,Bcf,1989,1450.0
USA,USA,Billion Cubic Feet,Bcf,1988,1638.0
USA,USA,Billion Cubic Feet,Bcf,1987,1089.0
USA,USA,Billion Cubic Feet,Bcf,1986,1099.0
USA,USA,Billion Cubic Feet,Bcf,1985,999.0
USA,USA,Billion Cubic Feet,Bcf,1984,2536.0
USA,USA,Billion Cubic Feet,Bcf,1983,1574.0
USA,USA,Billion Cubic Feet,Bcf,1982,2687.0
USA,USA,Billion Cubic Feet,Bcf,1981,3731.0
USA,USA,Billion Cubic Feet,Bcf,1980,2539.0
USA,USA,Billion Cubic Feet,Bcf,1979,3188.0
USA,USA,Billion Cubic Feet,Bcf,1978,3860.0
USA,USA,Billion Cubic Feet,Bcf,1977,3173.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,29.0
USA,USA,Billion Cubic Feet,Bcf,2014,378.0
USA,USA,Billion Cubic Feet,Bcf,2013,84.0
USA,USA,Billion Cubic Feet,Bcf,2012,82.0
USA,USA,Billion Cubic Feet,Bcf,2011,562.0
USA,USA,Billion Cubic Feet,Bcf,2010,68.0
USA,USA,Billion Cubic Feet,Bcf,2009,308.0
USA,USA,Billion Cubic Feet,Bcf,2008,311.0
USA,USA,Billion Cubic Feet,Bcf,2007,608.0
USA,USA,Billion Cubic Feet,Bcf,2006,111.0
USA,USA,Billion Cubic Feet,Bcf,2005,632.0
USA,USA,Billion Cubic Feet,Bcf,2004,252.0
USA,USA,Billion Cubic Feet,Bcf,2003,908.0
USA,USA,Billion Cubic Feet,Bcf,2002,1097.0
USA,USA,Billion Cubic Feet,Bcf,2001,2659.0
USA,USA,Billion Cubic Feet,Bcf,2000,1555.0
USA,USA,Billion Cubic Feet,Bcf,1999,1180.0
USA,USA,Billion Cubic Feet,Bcf,1998,733.0
USA,USA,Billion Cubic Feet,Bcf,1997,2252.0
USA,USA,Billion Cubic Feet,Bcf,1996,728.0
USA,USA,Billion Cubic Feet,Bcf,1995,1170.0
USA,USA,Billion Cubic Feet,Bcf,1994,1572.0
USA,USA,Billion Cubic Feet,Bcf,1993,681.0
USA,USA,Billion Cubic Feet,Bcf,1992,276.0
USA,USA,Billion Cubic Feet,Bcf,1991,548.0
USA,USA,Billion Cubic Feet,Bcf,1990,1218.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,73.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1978,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1977,28.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,30.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1978,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1977,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,7.0
