iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,1631.0
USA,USA,Billion Cubic Feet,Bcf,2014,2562.0
USA,USA,Billion Cubic Feet,Bcf,2013,1566.0
USA,USA,Billion Cubic Feet,Bcf,2012,376.0
USA,USA,Billion Cubic Feet,Bcf,2011,1227.0
USA,USA,Billion Cubic Feet,Bcf,2010,1668.0
USA,USA,Billion Cubic Feet,Bcf,2009,2598.0
USA,USA,Billion Cubic Feet,Bcf,2008,1622.0
USA,USA,Billion Cubic Feet,Bcf,2007,1188.0
USA,USA,Billion Cubic Feet,Bcf,2006,1155.0
USA,USA,Billion Cubic Feet,Bcf,2005,1208.0
USA,USA,Billion Cubic Feet,Bcf,2004,1206.0
USA,USA,Billion Cubic Feet,Bcf,2003,1610.0
USA,USA,Billion Cubic Feet,Bcf,2002,1694.0
USA,USA,Billion Cubic Feet,Bcf,2001,2800.0
USA,USA,Billion Cubic Feet,Bcf,2000,2368.0
USA,USA,Billion Cubic Feet,Bcf,1999,2196.0
USA,USA,Billion Cubic Feet,Bcf,1998,2162.0
USA,USA,Billion Cubic Feet,Bcf,1997,2382.0
USA,USA,Billion Cubic Feet,Bcf,1996,3110.0
USA,USA,Billion Cubic Feet,Bcf,1995,2452.0
USA,USA,Billion Cubic Feet,Bcf,1994,3480.0
USA,USA,Billion Cubic Feet,Bcf,1993,1866.0
USA,USA,Billion Cubic Feet,Bcf,1992,1724.0
USA,USA,Billion Cubic Feet,Bcf,1991,1604.0
USA,USA,Billion Cubic Feet,Bcf,1990,2412.0
USA,USA,Billion Cubic Feet,Bcf,1989,2243.0
USA,USA,Billion Cubic Feet,Bcf,1988,1909.0
USA,USA,Billion Cubic Feet,Bcf,1987,1499.0
USA,USA,Billion Cubic Feet,Bcf,1986,1771.0
USA,USA,Billion Cubic Feet,Bcf,1985,2960.0
USA,USA,Billion Cubic Feet,Bcf,1984,2686.0
USA,USA,Billion Cubic Feet,Bcf,1983,2965.0
USA,USA,Billion Cubic Feet,Bcf,1982,3419.0
USA,USA,Billion Cubic Feet,Bcf,1981,2998.0
USA,USA,Billion Cubic Feet,Bcf,1980,2577.0
USA,USA,Billion Cubic Feet,Bcf,1979,2566.0
USA,USA,Billion Cubic Feet,Bcf,1978,4579.0
USA,USA,Billion Cubic Feet,Bcf,1977,3301.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2019,
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2018,
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2017,
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2016,
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2015,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2014,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2013,1.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2012,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2011,3.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2010,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2009,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2008,5.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2007,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2006,2.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2005,10.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2004,35.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2003,1.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2002,8.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2001,4.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2000,13.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1999,23.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1998,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1997,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1996,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1995,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1994,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1993,8.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1992,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1991,41.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1990,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1989,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1988,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1987,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1986,10.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1985,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1984,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1983,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1982,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1981,4.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1980,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1979,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1978,302.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1977,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2019,
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2018,
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2017,
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2016,
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2015,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2014,14.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2013,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2012,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2011,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2010,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2009,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2008,1.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2007,17.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2006,7.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2005,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2004,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2003,4.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2002,4.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2001,2.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2000,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1999,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1998,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1997,14.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1996,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1995,130.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1994,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1993,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1992,1.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1991,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1990,3.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1981,8.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1980,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1979,66.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1978,2.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1977,0.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2019,
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2018,
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2017,
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2016,
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2015,2.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2014,2.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2013,1.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2012,11.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2011,23.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2010,27.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2009,36.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2008,41.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2007,27.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2006,32.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2005,31.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2004,18.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2003,0.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2002,8.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2001,11.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2000,16.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1999,12.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1998,36.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1997,15.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1996,27.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1995,0.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1994,1.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1993,1.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1992,6.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1991,6.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1990,9.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1989,13.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1988,28.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1987,29.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1986,23.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1985,16.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1984,14.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1983,8.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1982,24.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1981,1.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1980,25.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1979,23.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1978,37.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1977,26.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
