iso3166,geography,units,unitsshort,period,value
USA,USA,Million Cubic Feet,MMcf,2020,2890793
USA,USA,Million Cubic Feet,MMcf,2019,2836662
USA,USA,Million Cubic Feet,MMcf,2018,2524501
USA,USA,Million Cubic Feet,MMcf,2017,2446091
USA,USA,Million Cubic Feet,MMcf,2016,2148399
USA,USA,Million Cubic Feet,MMcf,2015,1754918
USA,USA,Million Cubic Feet,MMcf,2014,1497771
USA,USA,Million Cubic Feet,MMcf,2013,1569375
USA,USA,Million Cubic Feet,MMcf,2012,1590531
USA,USA,Million Cubic Feet,MMcf,2011,1435649
USA,USA,Million Cubic Feet,MMcf,2010,1071997
USA,USA,Million Cubic Feet,MMcf,2009,1039002
USA,USA,Million Cubic Feet,MMcf,2008,924046
USA,USA,Million Cubic Feet,MMcf,2007,773969
USA,USA,Million Cubic Feet,MMcf,2006,663020
USA,USA,Million Cubic Feet,MMcf,2005,663234
USA,USA,Million Cubic Feet,MMcf,2004,791671
USA,USA,Million Cubic Feet,MMcf,2003,613848
USA,USA,Million Cubic Feet,MMcf,2002,452391
USA,USA,Million Cubic Feet,MMcf,2001,307060
USA,USA,Million Cubic Feet,MMcf,2000,177688
USA,USA,Million Cubic Feet,MMcf,1999,99533
USA,USA,Million Cubic Feet,MMcf,1998,93023
USA,USA,Million Cubic Feet,MMcf,1997,94818
USA,USA,Million Cubic Feet,MMcf,1996,85745
USA,USA,Million Cubic Feet,MMcf,1995,88836
USA,USA,Million Cubic Feet,MMcf,1994,99057
USA,USA,Million Cubic Feet,MMcf,1993,84195
USA,USA,Million Cubic Feet,MMcf,1992,163750
USA,USA,Million Cubic Feet,MMcf,1991,75239
USA,USA,Million Cubic Feet,MMcf,1990,33018
USA,USA,Million Cubic Feet,MMcf,1989,55447
USA,USA,Million Cubic Feet,MMcf,1988,22065
USA,USA,Million Cubic Feet,MMcf,1987,5421
USA,USA,Million Cubic Feet,MMcf,1986,11099
USA,USA,Million Cubic Feet,MMcf,1985,2385
