iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,31233.0
USA,USA,Billion Cubic Feet,Bcf,2014,44599.0
USA,USA,Billion Cubic Feet,Bcf,2013,49131.0
USA,USA,Billion Cubic Feet,Bcf,2012,45167.0
USA,USA,Billion Cubic Feet,Bcf,2011,45909.0
USA,USA,Billion Cubic Feet,Bcf,2010,44783.0
USA,USA,Billion Cubic Feet,Bcf,2009,42139.0
USA,USA,Billion Cubic Feet,Bcf,2008,26687.0
USA,USA,Billion Cubic Feet,Bcf,2007,27107.0
USA,USA,Billion Cubic Feet,Bcf,2006,21778.0
USA,USA,Billion Cubic Feet,Bcf,2005,21050.0
USA,USA,Billion Cubic Feet,Bcf,2004,18198.0
USA,USA,Billion Cubic Feet,Bcf,2003,16454.0
USA,USA,Billion Cubic Feet,Bcf,2002,14769.0
USA,USA,Billion Cubic Feet,Bcf,2001,16380.0
USA,USA,Billion Cubic Feet,Bcf,2000,14787.0
USA,USA,Billion Cubic Feet,Bcf,1999,7043.0
USA,USA,Billion Cubic Feet,Bcf,1998,8197.0
USA,USA,Billion Cubic Feet,Bcf,1997,10585.0
USA,USA,Billion Cubic Feet,Bcf,1996,7757.0
USA,USA,Billion Cubic Feet,Bcf,1995,6843.0
USA,USA,Billion Cubic Feet,Bcf,1994,6941.0
USA,USA,Billion Cubic Feet,Bcf,1993,6103.0
USA,USA,Billion Cubic Feet,Bcf,1992,4675.0
USA,USA,Billion Cubic Feet,Bcf,1991,5090.0
USA,USA,Billion Cubic Feet,Bcf,1990,7952.0
USA,USA,Billion Cubic Feet,Bcf,1989,6339.0
USA,USA,Billion Cubic Feet,Bcf,1988,6803.0
USA,USA,Billion Cubic Feet,Bcf,1987,4587.0
USA,USA,Billion Cubic Feet,Bcf,1986,6065.0
USA,USA,Billion Cubic Feet,Bcf,1985,7169.0
USA,USA,Billion Cubic Feet,Bcf,1984,8299.0
USA,USA,Billion Cubic Feet,Bcf,1983,6909.0
USA,USA,Billion Cubic Feet,Bcf,1982,8349.0
USA,USA,Billion Cubic Feet,Bcf,1981,10491.0
USA,USA,Billion Cubic Feet,Bcf,1980,9357.0
USA,USA,Billion Cubic Feet,Bcf,1979,8950.0
USA,USA,Billion Cubic Feet,Bcf,1978,9582.0
USA,USA,Billion Cubic Feet,Bcf,1977,8129.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2019,
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2018,
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2017,
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2016,
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2015,27.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2014,145.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2013,92.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2012,45.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2011,4.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2010,14.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2009,2.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2008,18.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2007,28.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2006,49.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2005,62.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2004,141.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2003,81.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2002,62.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2001,59.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,2000,1949.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1999,2.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1998,2.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1997,14.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1996,6.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1995,42.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1994,5.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1993,27.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1992,54.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1991,16.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1990,54.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1989,155.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1988,32.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1987,45.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1986,1.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1985,71.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1984,1.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1983,1.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1982,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1981,6.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1980,311.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1979,1.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1978,0.0
USA-AK,USA-AK,Billion Cubic Feet,Bcf,1977,73.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2019,
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2018,
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2017,
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2016,
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2015,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2014,2.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2013,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2012,0.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2011,3.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2010,28.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2009,20.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2008,59.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2007,123.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2006,146.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2005,85.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2004,131.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2003,315.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2002,289.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2001,169.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,2000,175.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1999,1.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1998,19.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1997,34.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1996,177.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1995,118.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1994,80.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1993,378.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1992,35.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1991,229.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1990,1014.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1981,12.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1980,64.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1979,44.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1978,42.0
USA-AL,USA-AL,Billion Cubic Feet,Bcf,1977,50.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2019,
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2018,
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2017,
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2016,
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2015,242.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2014,1505.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2013,3419.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2012,1399.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2011,2093.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2010,3082.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2009,4627.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2008,1754.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2007,1148.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2006,491.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2005,281.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2004,170.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2003,125.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2002,111.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2001,119.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,2000,14.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1999,27.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1998,45.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1997,96.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1996,57.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1995,59.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1994,92.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1993,76.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1992,88.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1991,27.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1990,35.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1989,71.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1988,110.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1987,93.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1986,100.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1985,138.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1984,261.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1983,296.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1982,220.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1981,106.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1980,138.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1979,108.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1978,37.0
USA-AR,USA-AR,Billion Cubic Feet,Bcf,1977,23.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,84.0
