iso3166,geography,units,unitsshort,period,value
USA,USA,Number of Elements,Count,2019,328
USA,USA,Number of Elements,Count,2018,325
USA,USA,Number of Elements,Count,2017,328
USA,USA,Number of Elements,Count,2016,329
USA,USA,Number of Elements,Count,2015,329
USA,USA,Number of Elements,Count,2014,333
USA,USA,Number of Elements,Count,2013,332
USA,USA,Number of Elements,Count,2012,330
USA,USA,Number of Elements,Count,2011,329
USA,USA,Number of Elements,Count,2010,331
USA,USA,Number of Elements,Count,2009,331
USA,USA,Number of Elements,Count,2008,324
USA,USA,Number of Elements,Count,2007,326
USA,USA,Number of Elements,Count,2006,322
USA,USA,Number of Elements,Count,2005,320
USA,USA,Number of Elements,Count,2004,320
USA,USA,Number of Elements,Count,2003,318
USA,USA,Number of Elements,Count,2002,340
USA,USA,Number of Elements,Count,2001,351
USA,USA,Number of Elements,Count,2000,336
USA,USA,Number of Elements,Count,1999,335
USA-AL,USA-AL,Number of Elements,Count,2019,1
USA-AL,USA-AL,Number of Elements,Count,2018,1
USA-AL,USA-AL,Number of Elements,Count,2017,1
USA-AL,USA-AL,Number of Elements,Count,2016,1
USA-AL,USA-AL,Number of Elements,Count,2015,1
USA-AL,USA-AL,Number of Elements,Count,2014,1
USA-AL,USA-AL,Number of Elements,Count,2013,1
USA-AL,USA-AL,Number of Elements,Count,2012,1
USA-AL,USA-AL,Number of Elements,Count,2011,1
USA-AL,USA-AL,Number of Elements,Count,2010,1
USA-AL,USA-AL,Number of Elements,Count,2009,1
USA-AL,USA-AL,Number of Elements,Count,2008,1
USA-AL,USA-AL,Number of Elements,Count,2007,1
USA-AL,USA-AL,Number of Elements,Count,2006,1
USA-AL,USA-AL,Number of Elements,Count,2005,1
USA-AL,USA-AL,Number of Elements,Count,2004,1
USA-AL,USA-AL,Number of Elements,Count,2003,1
USA-AL,USA-AL,Number of Elements,Count,2002,1
USA-AL,USA-AL,Number of Elements,Count,2001,1
USA-AL,USA-AL,Number of Elements,Count,2000,0
USA-AL,USA-AL,Number of Elements,Count,1999,0
USA-AR,USA-AR,Number of Elements,Count,2019,2
USA-AR,USA-AR,Number of Elements,Count,2018,2
USA-AR,USA-AR,Number of Elements,Count,2017,2
USA-AR,USA-AR,Number of Elements,Count,2016,2
USA-AR,USA-AR,Number of Elements,Count,2015,2
USA-AR,USA-AR,Number of Elements,Count,2014,2
USA-AR,USA-AR,Number of Elements,Count,2013,2
