iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,353086.0
USA,USA,Billion Cubic Feet,Bcf,2018,342135.0
USA,USA,Billion Cubic Feet,Bcf,2017,307903.0
USA,USA,Billion Cubic Feet,Bcf,2016,209809.0
USA,USA,Billion Cubic Feet,Bcf,2015,175601.0
USA,USA,Billion Cubic Feet,Bcf,2014,199684.0
USA,USA,Billion Cubic Feet,Bcf,2013,159115.0
USA,USA,Billion Cubic Feet,Bcf,2012,129396.0
USA,USA,Billion Cubic Feet,Bcf,2011,131616.0
USA,USA,Billion Cubic Feet,Bcf,2010,97449.0
USA,USA,Billion Cubic Feet,Bcf,2009,60644.0
USA,USA,Billion Cubic Feet,Bcf,2008,34428.0
USA,USA,Billion Cubic Feet,Bcf,2007,23304.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,62.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,41.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,756.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,777.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,855.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,20.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,29553.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,25598.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,26316.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,9570.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,8972.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,12611.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,11473.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,13523.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,21950.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2010,20070.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2009,9307.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2008,858.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2007,6.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,168.0
