iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,25556.0
USA,USA,Billion Cubic Feet,Bcf,2018,22054.0
USA,USA,Billion Cubic Feet,Bcf,2017,18589.0
USA,USA,Billion Cubic Feet,Bcf,2016,17032.0
USA,USA,Billion Cubic Feet,Bcf,2015,15213.0
USA,USA,Billion Cubic Feet,Bcf,2014,13447.0
USA,USA,Billion Cubic Feet,Bcf,2013,11415.0
USA,USA,Billion Cubic Feet,Bcf,2012,10371.0
USA,USA,Billion Cubic Feet,Bcf,2011,7994.0
USA,USA,Billion Cubic Feet,Bcf,2010,5336.0
USA,USA,Billion Cubic Feet,Bcf,2009,3110.0
USA,USA,Billion Cubic Feet,Bcf,2008,2116.0
USA,USA,Billion Cubic Feet,Bcf,2007,1293.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,89.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,90.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,101.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,1.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,2518.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,2044.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,1414.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,1085.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,1129.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,1169.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,1509.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,2204.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,2084.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2010,1232.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2009,293.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2008,23.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2007,1.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,36.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,26.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,24.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,22.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,1.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,0.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2019,1101.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2018,785.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2017,
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2016,491.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2015,44.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2014,25.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2013,13.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2012,10.0
USA-NM,USA-NM,Billion Cubic Feet,Bcf,2011,5.0
