iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,9804.0
USA,USA,Billion Cubic Feet,Bcf,2018,8828.0
USA,USA,Billion Cubic Feet,Bcf,2017,7673.0
USA,USA,Billion Cubic Feet,Bcf,2016,4469.0
USA,USA,Billion Cubic Feet,Bcf,2015,3166.0
USA,USA,Billion Cubic Feet,Bcf,2014,4589.0
USA,USA,Billion Cubic Feet,Bcf,2013,2843.0
USA,USA,Billion Cubic Feet,Bcf,2012,2150.0
USA,USA,Billion Cubic Feet,Bcf,2011,1884.0
USA,USA,Billion Cubic Feet,Bcf,2010,2469.0
USA,USA,Billion Cubic Feet,Bcf,2009,678.0
USA,USA,Billion Cubic Feet,Bcf,2008,938.0
USA,USA,Billion Cubic Feet,Bcf,2007,1350.0
USA,USA,Billion Cubic Feet,Bcf,2006,1960.0
USA,USA,Billion Cubic Feet,Bcf,2005,2071.0
USA,USA,Billion Cubic Feet,Bcf,2004,987.0
USA,USA,Billion Cubic Feet,Bcf,2003,1062.0
USA,USA,Billion Cubic Feet,Bcf,2002,908.0
USA,USA,Billion Cubic Feet,Bcf,2001,845.0
USA,USA,Billion Cubic Feet,Bcf,2000,6586.0
USA,USA,Billion Cubic Feet,Bcf,2019,414.0
USA,USA,Billion Cubic Feet,Bcf,2018,186.0
USA,USA,Billion Cubic Feet,Bcf,2017,37.0
USA,USA,Billion Cubic Feet,Bcf,2016,71.0
USA,USA,Billion Cubic Feet,Bcf,2015,123.0
USA,USA,Billion Cubic Feet,Bcf,2014,83.0
USA,USA,Billion Cubic Feet,Bcf,2013,315.0
USA,USA,Billion Cubic Feet,Bcf,2012,297.0
USA,USA,Billion Cubic Feet,Bcf,2011,56.0
USA,USA,Billion Cubic Feet,Bcf,2010,250.0
USA,USA,Billion Cubic Feet,Bcf,2009,21.0
USA,USA,Billion Cubic Feet,Bcf,2008,74.0
USA,USA,Billion Cubic Feet,Bcf,2007,231.0
USA,USA,Billion Cubic Feet,Bcf,2006,360.0
USA,USA,Billion Cubic Feet,Bcf,2005,88.0
USA,USA,Billion Cubic Feet,Bcf,2004,282.0
USA,USA,Billion Cubic Feet,Bcf,2003,400.0
USA,USA,Billion Cubic Feet,Bcf,2002,59.0
USA,USA,Billion Cubic Feet,Bcf,2001,140.0
USA,USA,Billion Cubic Feet,Bcf,2000,723.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,95.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
