iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,7133.0
USA,USA,Billion Cubic Feet,Bcf,2014,9962.0
USA,USA,Billion Cubic Feet,Bcf,2013,9630.0
USA,USA,Billion Cubic Feet,Bcf,2012,10030.0
USA,USA,Billion Cubic Feet,Bcf,2011,5957.0
USA,USA,Billion Cubic Feet,Bcf,2010,2660.0
USA,USA,Billion Cubic Feet,Bcf,2009,2669.0
USA,USA,Billion Cubic Feet,Bcf,2008,1488.0
USA,USA,Billion Cubic Feet,Bcf,2007,1098.0
USA,USA,Billion Cubic Feet,Bcf,2006,810.0
USA,USA,Billion Cubic Feet,Bcf,2005,1032.0
USA,USA,Billion Cubic Feet,Bcf,2004,907.0
USA,USA,Billion Cubic Feet,Bcf,2003,817.0
USA,USA,Billion Cubic Feet,Bcf,2002,852.0
USA,USA,Billion Cubic Feet,Bcf,2001,1194.0
USA,USA,Billion Cubic Feet,Bcf,2000,2683.0
USA,USA,Billion Cubic Feet,Bcf,1999,586.0
USA,USA,Billion Cubic Feet,Bcf,1998,727.0
USA,USA,Billion Cubic Feet,Bcf,1997,1116.0
USA,USA,Billion Cubic Feet,Bcf,1996,991.0
USA,USA,Billion Cubic Feet,Bcf,1995,857.0
USA,USA,Billion Cubic Feet,Bcf,1994,850.0
USA,USA,Billion Cubic Feet,Bcf,1993,867.0
USA,USA,Billion Cubic Feet,Bcf,1992,760.0
USA,USA,Billion Cubic Feet,Bcf,1991,737.0
USA,USA,Billion Cubic Feet,Bcf,1990,615.0
USA,USA,Billion Cubic Feet,Bcf,1989,760.0
USA,USA,Billion Cubic Feet,Bcf,1988,498.0
USA,USA,Billion Cubic Feet,Bcf,1987,542.0
USA,USA,Billion Cubic Feet,Bcf,1986,758.0
USA,USA,Billion Cubic Feet,Bcf,1985,1099.0
USA,USA,Billion Cubic Feet,Bcf,1984,1182.0
USA,USA,Billion Cubic Feet,Bcf,1983,977.0
USA,USA,Billion Cubic Feet,Bcf,1982,1351.0
USA,USA,Billion Cubic Feet,Bcf,1981,1537.0
USA,USA,Billion Cubic Feet,Bcf,1980,1861.0
USA,USA,Billion Cubic Feet,Bcf,1979,1139.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,84.0
USA,USA,Billion Cubic Feet,Bcf,2014,94.0
USA,USA,Billion Cubic Feet,Bcf,2013,243.0
USA,USA,Billion Cubic Feet,Bcf,2012,229.0
USA,USA,Billion Cubic Feet,Bcf,2011,32.0
USA,USA,Billion Cubic Feet,Bcf,2010,87.0
USA,USA,Billion Cubic Feet,Bcf,2009,90.0
USA,USA,Billion Cubic Feet,Bcf,2008,287.0
USA,USA,Billion Cubic Feet,Bcf,2007,136.0
USA,USA,Billion Cubic Feet,Bcf,2006,61.0
USA,USA,Billion Cubic Feet,Bcf,2005,46.0
USA,USA,Billion Cubic Feet,Bcf,2004,148.0
USA,USA,Billion Cubic Feet,Bcf,2003,209.0
USA,USA,Billion Cubic Feet,Bcf,2002,209.0
USA,USA,Billion Cubic Feet,Bcf,2001,349.0
USA,USA,Billion Cubic Feet,Bcf,2000,335.0
USA,USA,Billion Cubic Feet,Bcf,1999,90.0
USA,USA,Billion Cubic Feet,Bcf,1998,201.0
USA,USA,Billion Cubic Feet,Bcf,1997,194.0
USA,USA,Billion Cubic Feet,Bcf,1996,199.0
USA,USA,Billion Cubic Feet,Bcf,1995,351.0
USA,USA,Billion Cubic Feet,Bcf,1994,187.0
USA,USA,Billion Cubic Feet,Bcf,1993,192.0
USA,USA,Billion Cubic Feet,Bcf,1992,100.0
USA,USA,Billion Cubic Feet,Bcf,1991,217.0
USA,USA,Billion Cubic Feet,Bcf,1990,100.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,26.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,101.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,56.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,16.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,23.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,45.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,70.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,9.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,468.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,95.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,42.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,38.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,20.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,72.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,83.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,92.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,43.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,45.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,12.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,6.0
