iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,69355.0
USA,USA,Billion Cubic Feet,Bcf,2018,56918.0
USA,USA,Billion Cubic Feet,Bcf,2017,24677.0
USA,USA,Billion Cubic Feet,Bcf,2016,44569.0
USA,USA,Billion Cubic Feet,Bcf,2015,101272.0
USA,USA,Billion Cubic Feet,Bcf,2014,44184.0
USA,USA,Billion Cubic Feet,Bcf,2013,36900.0
USA,USA,Billion Cubic Feet,Bcf,2012,81869.0
USA,USA,Billion Cubic Feet,Bcf,2011,50174.0
USA,USA,Billion Cubic Feet,Bcf,2010,34375.0
USA,USA,Billion Cubic Feet,Bcf,2009,31865.0
USA,USA,Billion Cubic Feet,Bcf,2008,27810.0
USA,USA,Billion Cubic Feet,Bcf,2007,15664.0
USA,USA,Billion Cubic Feet,Bcf,2006,20957.0
USA,USA,Billion Cubic Feet,Bcf,2005,18613.0
USA,USA,Billion Cubic Feet,Bcf,2004,24121.0
USA,USA,Billion Cubic Feet,Bcf,2003,19705.0
USA,USA,Billion Cubic Feet,Bcf,2002,17565.0
USA,USA,Billion Cubic Feet,Bcf,2001,18385.0
USA,USA,Billion Cubic Feet,Bcf,2000,12394.0
USA,USA,Billion Cubic Feet,Bcf,1999,24346.0
USA,USA,Billion Cubic Feet,Bcf,1998,19482.0
USA,USA,Billion Cubic Feet,Bcf,1997,14414.0
USA,USA,Billion Cubic Feet,Bcf,1996,11744.0
USA,USA,Billion Cubic Feet,Bcf,1995,11129.0
USA,USA,Billion Cubic Feet,Bcf,1994,13507.0
USA,USA,Billion Cubic Feet,Bcf,1993,10130.0
USA,USA,Billion Cubic Feet,Bcf,1992,10688.0
USA,USA,Billion Cubic Feet,Bcf,1991,12710.0
USA,USA,Billion Cubic Feet,Bcf,1990,11453.0
USA,USA,Billion Cubic Feet,Bcf,1989,21494.0
USA,USA,Billion Cubic Feet,Bcf,1988,11957.0
USA,USA,Billion Cubic Feet,Bcf,1987,12178.0
USA,USA,Billion Cubic Feet,Bcf,1986,15654.0
USA,USA,Billion Cubic Feet,Bcf,1985,13882.0
USA,USA,Billion Cubic Feet,Bcf,1984,12419.0
USA,USA,Billion Cubic Feet,Bcf,1983,14570.0
USA,USA,Billion Cubic Feet,Bcf,1982,15625.0
USA,USA,Billion Cubic Feet,Bcf,1981,11852.0
USA,USA,Billion Cubic Feet,Bcf,1980,13590.0
USA,USA,Billion Cubic Feet,Bcf,1979,13091.0
USA,USA,Billion Cubic Feet,Bcf,2019,184.0
USA,USA,Billion Cubic Feet,Bcf,2018,252.0
USA,USA,Billion Cubic Feet,Bcf,2017,237.0
USA,USA,Billion Cubic Feet,Bcf,2016,323.0
USA,USA,Billion Cubic Feet,Bcf,2015,571.0
USA,USA,Billion Cubic Feet,Bcf,2014,555.0
USA,USA,Billion Cubic Feet,Bcf,2013,547.0
USA,USA,Billion Cubic Feet,Bcf,2012,1506.0
USA,USA,Billion Cubic Feet,Bcf,2011,1711.0
USA,USA,Billion Cubic Feet,Bcf,2010,1433.0
USA,USA,Billion Cubic Feet,Bcf,2009,1400.0
USA,USA,Billion Cubic Feet,Bcf,2008,1631.0
USA,USA,Billion Cubic Feet,Bcf,2007,1561.0
USA,USA,Billion Cubic Feet,Bcf,2006,1887.0
USA,USA,Billion Cubic Feet,Bcf,2005,2095.0
USA,USA,Billion Cubic Feet,Bcf,2004,4692.0
USA,USA,Billion Cubic Feet,Bcf,2003,2898.0
USA,USA,Billion Cubic Feet,Bcf,2002,2763.0
USA,USA,Billion Cubic Feet,Bcf,2001,3258.0
USA,USA,Billion Cubic Feet,Bcf,2000,2695.0
USA,USA,Billion Cubic Feet,Bcf,1999,4236.0
USA,USA,Billion Cubic Feet,Bcf,1998,3913.0
USA,USA,Billion Cubic Feet,Bcf,1997,2640.0
USA,USA,Billion Cubic Feet,Bcf,1996,2345.0
USA,USA,Billion Cubic Feet,Bcf,1995,3220.0
USA,USA,Billion Cubic Feet,Bcf,1994,2821.0
USA,USA,Billion Cubic Feet,Bcf,1993,2036.0
USA,USA,Billion Cubic Feet,Bcf,1992,2464.0
USA,USA,Billion Cubic Feet,Bcf,1991,3503.0
USA,USA,Billion Cubic Feet,Bcf,1990,2605.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,48.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
