iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,12097.0
USA,USA,Billion Cubic Feet,Bcf,2018,21492.0
USA,USA,Billion Cubic Feet,Bcf,2017,22619.0
USA,USA,Billion Cubic Feet,Bcf,2016,17018.0
USA,USA,Billion Cubic Feet,Bcf,2015,13405.0
USA,USA,Billion Cubic Feet,Bcf,2014,17671.0
USA,USA,Billion Cubic Feet,Bcf,2013,8453.0
USA,USA,Billion Cubic Feet,Bcf,2012,8819.0
USA,USA,Billion Cubic Feet,Bcf,2011,43237.0
USA,USA,Billion Cubic Feet,Bcf,2010,9436.0
USA,USA,Billion Cubic Feet,Bcf,2009,3813.0
USA,USA,Billion Cubic Feet,Bcf,2008,7249.0
USA,USA,Billion Cubic Feet,Bcf,2007,14403.0
USA,USA,Billion Cubic Feet,Bcf,2006,22178.0
USA,USA,Billion Cubic Feet,Bcf,2005,7977.0
USA,USA,Billion Cubic Feet,Bcf,2004,10579.0
USA,USA,Billion Cubic Feet,Bcf,2003,9553.0
USA,USA,Billion Cubic Feet,Bcf,2002,9601.0
USA,USA,Billion Cubic Feet,Bcf,2001,10733.0
USA,USA,Billion Cubic Feet,Bcf,2000,14436.0
USA,USA,Billion Cubic Feet,Bcf,2019,323.0
USA,USA,Billion Cubic Feet,Bcf,2018,32.0
USA,USA,Billion Cubic Feet,Bcf,2017,8.0
USA,USA,Billion Cubic Feet,Bcf,2016,186.0
USA,USA,Billion Cubic Feet,Bcf,2015,192.0
USA,USA,Billion Cubic Feet,Bcf,2014,235.0
USA,USA,Billion Cubic Feet,Bcf,2013,757.0
USA,USA,Billion Cubic Feet,Bcf,2012,413.0
USA,USA,Billion Cubic Feet,Bcf,2011,266.0
USA,USA,Billion Cubic Feet,Bcf,2010,827.0
USA,USA,Billion Cubic Feet,Bcf,2009,142.0
USA,USA,Billion Cubic Feet,Bcf,2008,672.0
USA,USA,Billion Cubic Feet,Bcf,2007,763.0
USA,USA,Billion Cubic Feet,Bcf,2006,2317.0
USA,USA,Billion Cubic Feet,Bcf,2005,787.0
USA,USA,Billion Cubic Feet,Bcf,2004,1021.0
USA,USA,Billion Cubic Feet,Bcf,2003,1723.0
USA,USA,Billion Cubic Feet,Bcf,2002,693.0
USA,USA,Billion Cubic Feet,Bcf,2001,1319.0
USA,USA,Billion Cubic Feet,Bcf,2000,2001.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,164.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,303.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,47.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,165.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,152.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,211.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,115.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,47.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2019,1575.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2018,2259.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2017,368.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2016,493.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2015,1597.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2014,2277.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2013,964.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2012,276.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2011,4948.0
USA-LA,USA-LA,Billion Cubic Feet,Bcf,2010,598.0
