iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,25059.0
USA,USA,Billion Cubic Feet,Bcf,2018,29793.0
USA,USA,Billion Cubic Feet,Bcf,2017,39366.0
USA,USA,Billion Cubic Feet,Bcf,2016,15529.0
USA,USA,Billion Cubic Feet,Bcf,2015,12933.0
USA,USA,Billion Cubic Feet,Bcf,2014,23705.0
USA,USA,Billion Cubic Feet,Bcf,2013,8630.0
USA,USA,Billion Cubic Feet,Bcf,2012,5941.0
USA,USA,Billion Cubic Feet,Bcf,2011,45989.0
USA,USA,Billion Cubic Feet,Bcf,2010,10879.0
USA,USA,Billion Cubic Feet,Bcf,2009,3477.0
USA,USA,Billion Cubic Feet,Bcf,2008,7910.0
USA,USA,Billion Cubic Feet,Bcf,2007,14620.0
USA,USA,Billion Cubic Feet,Bcf,2006,25122.0
USA,USA,Billion Cubic Feet,Bcf,2005,10235.0
USA,USA,Billion Cubic Feet,Bcf,2004,12571.0
USA,USA,Billion Cubic Feet,Bcf,2003,10638.0
USA,USA,Billion Cubic Feet,Bcf,2002,10185.0
USA,USA,Billion Cubic Feet,Bcf,2001,13756.0
USA,USA,Billion Cubic Feet,Bcf,2000,19051.0
USA,USA,Billion Cubic Feet,Bcf,2019,252.0
USA,USA,Billion Cubic Feet,Bcf,2018,64.0
USA,USA,Billion Cubic Feet,Bcf,2017,10.0
USA,USA,Billion Cubic Feet,Bcf,2016,55.0
USA,USA,Billion Cubic Feet,Bcf,2015,343.0
USA,USA,Billion Cubic Feet,Bcf,2014,371.0
USA,USA,Billion Cubic Feet,Bcf,2013,149.0
USA,USA,Billion Cubic Feet,Bcf,2012,533.0
USA,USA,Billion Cubic Feet,Bcf,2011,418.0
USA,USA,Billion Cubic Feet,Bcf,2010,784.0
USA,USA,Billion Cubic Feet,Bcf,2009,165.0
USA,USA,Billion Cubic Feet,Bcf,2008,558.0
USA,USA,Billion Cubic Feet,Bcf,2007,987.0
USA,USA,Billion Cubic Feet,Bcf,2006,2264.0
USA,USA,Billion Cubic Feet,Bcf,2005,681.0
USA,USA,Billion Cubic Feet,Bcf,2004,1238.0
USA,USA,Billion Cubic Feet,Bcf,2003,1515.0
USA,USA,Billion Cubic Feet,Bcf,2002,801.0
USA,USA,Billion Cubic Feet,Bcf,2001,1421.0
USA,USA,Billion Cubic Feet,Bcf,2000,2382.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,8.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
