iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,25807.0
USA,USA,Billion Cubic Feet,Bcf,2014,37109.0
USA,USA,Billion Cubic Feet,Bcf,2013,41444.0
USA,USA,Billion Cubic Feet,Bcf,2012,37023.0
USA,USA,Billion Cubic Feet,Bcf,2011,41678.0
USA,USA,Billion Cubic Feet,Bcf,2010,43623.0
USA,USA,Billion Cubic Feet,Bcf,2009,40831.0
USA,USA,Billion Cubic Feet,Bcf,2008,26312.0
USA,USA,Billion Cubic Feet,Bcf,2007,27157.0
USA,USA,Billion Cubic Feet,Bcf,2006,22024.0
USA,USA,Billion Cubic Feet,Bcf,2005,21037.0
USA,USA,Billion Cubic Feet,Bcf,2004,18161.0
USA,USA,Billion Cubic Feet,Bcf,2003,16378.0
USA,USA,Billion Cubic Feet,Bcf,2002,14616.0
USA,USA,Billion Cubic Feet,Bcf,2001,15987.0
USA,USA,Billion Cubic Feet,Bcf,2000,12866.0
USA,USA,Billion Cubic Feet,Bcf,1999,6815.0
USA,USA,Billion Cubic Feet,Bcf,1998,7903.0
USA,USA,Billion Cubic Feet,Bcf,1997,10063.0
USA,USA,Billion Cubic Feet,Bcf,1996,7198.0
USA,USA,Billion Cubic Feet,Bcf,1995,6347.0
USA,USA,Billion Cubic Feet,Bcf,1994,6449.0
USA,USA,Billion Cubic Feet,Bcf,1993,5509.0
USA,USA,Billion Cubic Feet,Bcf,1992,4135.0
USA,USA,Billion Cubic Feet,Bcf,1991,4561.0
USA,USA,Billion Cubic Feet,Bcf,1990,7672.0
USA,USA,Billion Cubic Feet,Bcf,1989,5863.0
USA,USA,Billion Cubic Feet,Bcf,1988,6634.0
USA,USA,Billion Cubic Feet,Bcf,1987,4276.0
USA,USA,Billion Cubic Feet,Bcf,1986,5601.0
USA,USA,Billion Cubic Feet,Bcf,1985,6436.0
USA,USA,Billion Cubic Feet,Bcf,1984,7506.0
USA,USA,Billion Cubic Feet,Bcf,1983,6286.0
USA,USA,Billion Cubic Feet,Bcf,1982,7403.0
USA,USA,Billion Cubic Feet,Bcf,1981,9442.0
USA,USA,Billion Cubic Feet,Bcf,1980,7896.0
USA,USA,Billion Cubic Feet,Bcf,1979,8193.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,99.0
USA,USA,Billion Cubic Feet,Bcf,2014,121.0
USA,USA,Billion Cubic Feet,Bcf,2013,28.0
USA,USA,Billion Cubic Feet,Bcf,2012,120.0
USA,USA,Billion Cubic Feet,Bcf,2011,66.0
USA,USA,Billion Cubic Feet,Bcf,2010,246.0
USA,USA,Billion Cubic Feet,Bcf,2009,208.0
USA,USA,Billion Cubic Feet,Bcf,2008,637.0
USA,USA,Billion Cubic Feet,Bcf,2007,539.0
USA,USA,Billion Cubic Feet,Bcf,2006,690.0
USA,USA,Billion Cubic Feet,Bcf,2005,614.0
USA,USA,Billion Cubic Feet,Bcf,2004,1080.0
USA,USA,Billion Cubic Feet,Bcf,2003,712.0
USA,USA,Billion Cubic Feet,Bcf,2002,832.0
USA,USA,Billion Cubic Feet,Bcf,2001,1071.0
USA,USA,Billion Cubic Feet,Bcf,2000,1761.0
USA,USA,Billion Cubic Feet,Bcf,1999,865.0
USA,USA,Billion Cubic Feet,Bcf,1998,896.0
USA,USA,Billion Cubic Feet,Bcf,1997,1480.0
USA,USA,Billion Cubic Feet,Bcf,1996,1447.0
USA,USA,Billion Cubic Feet,Bcf,1995,1232.0
USA,USA,Billion Cubic Feet,Bcf,1994,1269.0
USA,USA,Billion Cubic Feet,Bcf,1993,1235.0
USA,USA,Billion Cubic Feet,Bcf,1992,563.0
USA,USA,Billion Cubic Feet,Bcf,1991,851.0
USA,USA,Billion Cubic Feet,Bcf,1990,704.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,27.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,15.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,6.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,28.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,7.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,13.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,165.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,84.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,17.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,36.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,10.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,123.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,19.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,4.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,11.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,3.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,18.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,58.0
