iso3166,geography,units,unitsshort,period,value
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,8.0
USA,USA,Billion Cubic Feet,Bcf,2014,344.0
USA,USA,Billion Cubic Feet,Bcf,2013,200.0
USA,USA,Billion Cubic Feet,Bcf,2012,629.0
USA,USA,Billion Cubic Feet,Bcf,2011,376.0
USA,USA,Billion Cubic Feet,Bcf,2010,793.0
USA,USA,Billion Cubic Feet,Bcf,2009,1160.0
USA,USA,Billion Cubic Feet,Bcf,2008,1122.0
USA,USA,Billion Cubic Feet,Bcf,2007,768.0
USA,USA,Billion Cubic Feet,Bcf,2006,385.0
USA,USA,Billion Cubic Feet,Bcf,2005,854.0
USA,USA,Billion Cubic Feet,Bcf,2004,756.0
USA,USA,Billion Cubic Feet,Bcf,2003,805.0
USA,USA,Billion Cubic Feet,Bcf,2002,1145.0
USA,USA,Billion Cubic Feet,Bcf,2001,2378.0
USA,USA,Billion Cubic Feet,Bcf,2000,1664.0
USA,USA,Billion Cubic Feet,Bcf,1999,1228.0
USA,USA,Billion Cubic Feet,Bcf,1998,1009.0
USA,USA,Billion Cubic Feet,Bcf,1997,1387.0
USA,USA,Billion Cubic Feet,Bcf,1996,1269.0
USA,USA,Billion Cubic Feet,Bcf,1995,1461.0
USA,USA,Billion Cubic Feet,Bcf,1994,1411.0
USA,USA,Billion Cubic Feet,Bcf,1993,682.0
USA,USA,Billion Cubic Feet,Bcf,1992,655.0
USA,USA,Billion Cubic Feet,Bcf,1991,802.0
USA,USA,Billion Cubic Feet,Bcf,1990,1900.0
USA,USA,Billion Cubic Feet,Bcf,1989,1280.0
USA,USA,Billion Cubic Feet,Bcf,1988,1610.0
USA,USA,Billion Cubic Feet,Bcf,1987,1018.0
USA,USA,Billion Cubic Feet,Bcf,1986,1034.0
USA,USA,Billion Cubic Feet,Bcf,1985,897.0
USA,USA,Billion Cubic Feet,Bcf,1984,2428.0
USA,USA,Billion Cubic Feet,Bcf,1983,1408.0
USA,USA,Billion Cubic Feet,Bcf,1982,2624.0
USA,USA,Billion Cubic Feet,Bcf,1981,3535.0
USA,USA,Billion Cubic Feet,Bcf,1980,2264.0
USA,USA,Billion Cubic Feet,Bcf,1979,3086.0
USA,USA,Billion Cubic Feet,Bcf,2019,
USA,USA,Billion Cubic Feet,Bcf,2018,
USA,USA,Billion Cubic Feet,Bcf,2017,
USA,USA,Billion Cubic Feet,Bcf,2016,
USA,USA,Billion Cubic Feet,Bcf,2015,8.0
USA,USA,Billion Cubic Feet,Bcf,2014,96.0
USA,USA,Billion Cubic Feet,Bcf,2013,34.0
USA,USA,Billion Cubic Feet,Bcf,2012,22.0
USA,USA,Billion Cubic Feet,Bcf,2011,66.0
USA,USA,Billion Cubic Feet,Bcf,2010,65.0
USA,USA,Billion Cubic Feet,Bcf,2009,96.0
USA,USA,Billion Cubic Feet,Bcf,2008,228.0
USA,USA,Billion Cubic Feet,Bcf,2007,575.0
USA,USA,Billion Cubic Feet,Bcf,2006,87.0
USA,USA,Billion Cubic Feet,Bcf,2005,541.0
USA,USA,Billion Cubic Feet,Bcf,2004,241.0
USA,USA,Billion Cubic Feet,Bcf,2003,485.0
USA,USA,Billion Cubic Feet,Bcf,2002,917.0
USA,USA,Billion Cubic Feet,Bcf,2001,1448.0
USA,USA,Billion Cubic Feet,Bcf,2000,1245.0
USA,USA,Billion Cubic Feet,Bcf,1999,838.0
USA,USA,Billion Cubic Feet,Bcf,1998,673.0
USA,USA,Billion Cubic Feet,Bcf,1997,944.0
USA,USA,Billion Cubic Feet,Bcf,1996,596.0
USA,USA,Billion Cubic Feet,Bcf,1995,960.0
USA,USA,Billion Cubic Feet,Bcf,1994,1079.0
USA,USA,Billion Cubic Feet,Bcf,1993,454.0
USA,USA,Billion Cubic Feet,Bcf,1992,278.0
USA,USA,Billion Cubic Feet,Bcf,1991,503.0
USA,USA,Billion Cubic Feet,Bcf,1990,1141.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,73.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1993,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1992,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1991,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1990,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1989,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1988,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1987,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1986,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1985,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1984,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1983,2.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1982,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1981,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1980,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1979,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2019,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2018,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2017,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2016,
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2015,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2014,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2013,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2012,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2011,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2010,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2009,1.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2008,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2007,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2006,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2005,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2004,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2003,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2002,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2001,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,2000,5.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1999,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1998,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1997,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1996,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1995,0.0
USA-CA,USA-CA,Billion Cubic Feet,Bcf,1994,0.0
