iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2008,9275
USA,USA,Million Barrels,MMbbl,2007,9143
USA,USA,Million Barrels,MMbbl,2006,8472
USA,USA,Million Barrels,MMbbl,2005,8165
USA,USA,Million Barrels,MMbbl,2004,7928
USA,USA,Million Barrels,MMbbl,2003,7459
USA,USA,Million Barrels,MMbbl,2002,7994
USA,USA,Million Barrels,MMbbl,2001,7993
USA,USA,Million Barrels,MMbbl,2000,8345
USA,USA,Million Barrels,MMbbl,1999,7906
USA,USA,Million Barrels,MMbbl,1998,7524
USA,USA,Million Barrels,MMbbl,1997,7973
USA,USA,Million Barrels,MMbbl,1996,7823
USA,USA,Million Barrels,MMbbl,1995,7399
USA,USA,Million Barrels,MMbbl,1994,7170
USA,USA,Million Barrels,MMbbl,1993,7222
USA,USA,Million Barrels,MMbbl,1992,7451
USA,USA,Million Barrels,MMbbl,1991,7464
USA,USA,Million Barrels,MMbbl,1990,7586
USA,USA,Million Barrels,MMbbl,1989,7769
USA,USA,Million Barrels,MMbbl,1988,8238
USA,USA,Million Barrels,MMbbl,1987,8147
USA,USA,Million Barrels,MMbbl,1986,8165
USA,USA,Million Barrels,MMbbl,1985,7944
USA,USA,Million Barrels,MMbbl,1984,7643
USA,USA,Million Barrels,MMbbl,1983,7901
USA,USA,Million Barrels,MMbbl,1982,7221
USA,USA,Million Barrels,MMbbl,1981,7068
USA,USA,Million Barrels,MMbbl,1980,6728
USA,USA,Million Barrels,MMbbl,1979,6615
USA,USA,Million Barrels,MMbbl,2008,548
USA,USA,Million Barrels,MMbbl,2007,624
USA,USA,Million Barrels,MMbbl,2006,653
USA,USA,Million Barrels,MMbbl,2005,696
USA,USA,Million Barrels,MMbbl,2004,721
USA,USA,Million Barrels,MMbbl,2003,725
USA,USA,Million Barrels,MMbbl,2002,973
USA,USA,Million Barrels,MMbbl,2001,976
USA,USA,Million Barrels,MMbbl,2000,1078
USA,USA,Million Barrels,MMbbl,1999,998
USA,USA,Million Barrels,MMbbl,1998,931
USA,USA,Million Barrels,MMbbl,1997,920
USA,USA,Million Barrels,MMbbl,1996,776
USA,USA,Million Barrels,MMbbl,1995,655
USA,USA,Million Barrels,MMbbl,1994,624
USA,USA,Million Barrels,MMbbl,1993,630
USA,USA,Million Barrels,MMbbl,1992,610
USA,USA,Million Barrels,MMbbl,1991,640
USA,USA,Million Barrels,MMbbl,1990,619
USA,USA,Million Barrels,MMbbl,1989,678
USA,USA,Million Barrels,MMbbl,1988,622
USA,USA,Million Barrels,MMbbl,1987,638
USA,USA,Million Barrels,MMbbl,1986,681
USA,USA,Million Barrels,MMbbl,1981,679
USA-CA,USA-CA,Million Barrels,MMbbl,2008,1
USA-CA,USA-CA,Million Barrels,MMbbl,2007,4
USA-CA,USA-CA,Million Barrels,MMbbl,2006,4
USA-CA,USA-CA,Million Barrels,MMbbl,2005,8
USA-CA,USA-CA,Million Barrels,MMbbl,2004,8
USA-CA,USA-CA,Million Barrels,MMbbl,2003,8
USA-CA,USA-CA,Million Barrels,MMbbl,2002,8
USA-CA,USA-CA,Million Barrels,MMbbl,2001,9
USA-CA,USA-CA,Million Barrels,MMbbl,2000,4
USA-CA,USA-CA,Million Barrels,MMbbl,1999,4
USA-CA,USA-CA,Million Barrels,MMbbl,1998,12
USA-CA,USA-CA,Million Barrels,MMbbl,1997,14
USA-CA,USA-CA,Million Barrels,MMbbl,1996,23
USA-CA,USA-CA,Million Barrels,MMbbl,1995,25
USA-CA,USA-CA,Million Barrels,MMbbl,1994,21
USA-CA,USA-CA,Million Barrels,MMbbl,1993,25
USA-CA,USA-CA,Million Barrels,MMbbl,1992,20
USA-CA,USA-CA,Million Barrels,MMbbl,1991,16
USA-CA,USA-CA,Million Barrels,MMbbl,1990,18
USA-CA,USA-CA,Million Barrels,MMbbl,1989,25
USA-CA,USA-CA,Million Barrels,MMbbl,1988,21
USA-CA,USA-CA,Million Barrels,MMbbl,1987,17
USA-CA,USA-CA,Million Barrels,MMbbl,1986,15
USA-CA,USA-CA,Million Barrels,MMbbl,1982,2
USA-CA,USA-CA,Million Barrels,MMbbl,1981,3
USA-CA,USA-CA,Million Barrels,MMbbl,1980,0
USA-CA,USA-CA,Million Barrels,MMbbl,1979,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,10
USA-CA,USA-CA,Million Barrels,MMbbl,2007,14
USA-CA,USA-CA,Million Barrels,MMbbl,2006,22
USA-CA,USA-CA,Million Barrels,MMbbl,2005,16
USA-CA,USA-CA,Million Barrels,MMbbl,2004,19
USA-CA,USA-CA,Million Barrels,MMbbl,2003,15
USA-CA,USA-CA,Million Barrels,MMbbl,2002,17
USA-CA,USA-CA,Million Barrels,MMbbl,2001,16
USA-CA,USA-CA,Million Barrels,MMbbl,2000,27
USA-CA,USA-CA,Million Barrels,MMbbl,1999,31
USA-CA,USA-CA,Million Barrels,MMbbl,1998,9
USA-CA,USA-CA,Million Barrels,MMbbl,1997,9
USA-CA,USA-CA,Million Barrels,MMbbl,1996,9
USA-CA,USA-CA,Million Barrels,MMbbl,1995,8
USA-CA,USA-CA,Million Barrels,MMbbl,1994,11
USA-CA,USA-CA,Million Barrels,MMbbl,1993,12
USA-CA,USA-CA,Million Barrels,MMbbl,1992,10
USA-CA,USA-CA,Million Barrels,MMbbl,1991,12
USA-CA,USA-CA,Million Barrels,MMbbl,1990,12
USA-CA,USA-CA,Million Barrels,MMbbl,1989,11
USA-CA,USA-CA,Million Barrels,MMbbl,1988,13
USA-CA,USA-CA,Million Barrels,MMbbl,1987,13
USA-CA,USA-CA,Million Barrels,MMbbl,1986,15
