iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2019,321.0
USA,USA,Million Barrels,MMbbl,2018,288.0
USA,USA,Million Barrels,MMbbl,2017,244.0
USA,USA,Million Barrels,MMbbl,2016,270.0
USA,USA,Million Barrels,MMbbl,2015,323.0
USA,USA,Million Barrels,MMbbl,2014,326.0
USA,USA,Million Barrels,MMbbl,2013,311.0
USA,USA,Million Barrels,MMbbl,2012,274.0
USA,USA,Million Barrels,MMbbl,2011,231.0
USA,USA,Million Barrels,MMbbl,2010,224.0
USA,USA,Million Barrels,MMbbl,2009,178.0
USA,USA,Million Barrels,MMbbl,2008,173.0
USA,USA,Million Barrels,MMbbl,2007,181.0
USA,USA,Million Barrels,MMbbl,2006,182.0
USA,USA,Million Barrels,MMbbl,2005,174.0
USA,USA,Million Barrels,MMbbl,2004,182.0
USA,USA,Million Barrels,MMbbl,2003,191.0
USA,USA,Million Barrels,MMbbl,2002,207.0
USA,USA,Million Barrels,MMbbl,2001,215.0
USA,USA,Million Barrels,MMbbl,2000,208.0
USA,USA,Million Barrels,MMbbl,1999,199.0
USA,USA,Million Barrels,MMbbl,1998,178.0
USA,USA,Million Barrels,MMbbl,1997,174.0
USA,USA,Million Barrels,MMbbl,1996,162.0
USA,USA,Million Barrels,MMbbl,1995,145.0
USA,USA,Million Barrels,MMbbl,1994,157.0
USA,USA,Million Barrels,MMbbl,1993,153.0
USA,USA,Million Barrels,MMbbl,1992,147.0
USA,USA,Million Barrels,MMbbl,1991,153.0
USA,USA,Million Barrels,MMbbl,1990,158.0
USA,USA,Million Barrels,MMbbl,1989,165.0
USA,USA,Million Barrels,MMbbl,1988,162.0
USA,USA,Million Barrels,MMbbl,1987,162.0
USA,USA,Million Barrels,MMbbl,1986,169.0
USA,USA,Million Barrels,MMbbl,1985,168.0
USA,USA,Million Barrels,MMbbl,1984,179.0
USA,USA,Million Barrels,MMbbl,1983,157.0
USA,USA,Million Barrels,MMbbl,1982,157.0
USA,USA,Million Barrels,MMbbl,1981,161.0
USA,USA,Million Barrels,MMbbl,1980,159.0
USA,USA,Million Barrels,MMbbl,1979,147.0
USA,USA,Million Barrels,MMbbl,2019,20.0
USA,USA,Million Barrels,MMbbl,2018,14.0
USA,USA,Million Barrels,MMbbl,2017,18.0
USA,USA,Million Barrels,MMbbl,2016,21.0
USA,USA,Million Barrels,MMbbl,2015,27.0
USA,USA,Million Barrels,MMbbl,2014,32.0
USA,USA,Million Barrels,MMbbl,2013,30.0
USA,USA,Million Barrels,MMbbl,2012,40.0
USA,USA,Million Barrels,MMbbl,2011,40.0
USA,USA,Million Barrels,MMbbl,2010,48.0
USA,USA,Million Barrels,MMbbl,2009,48.0
USA,USA,Million Barrels,MMbbl,2008,41.0
USA,USA,Million Barrels,MMbbl,2007,58.0
USA,USA,Million Barrels,MMbbl,2006,58.0
USA,USA,Million Barrels,MMbbl,2005,62.0
USA,USA,Million Barrels,MMbbl,2004,74.0
USA,USA,Million Barrels,MMbbl,2003,78.0
USA,USA,Million Barrels,MMbbl,2002,90.0
USA,USA,Million Barrels,MMbbl,2001,101.0
USA,USA,Million Barrels,MMbbl,2000,106.0
USA,USA,Million Barrels,MMbbl,1999,87.0
USA,USA,Million Barrels,MMbbl,1998,72.0
USA,USA,Million Barrels,MMbbl,1997,70.0
USA,USA,Million Barrels,MMbbl,1996,60.0
USA,USA,Million Barrels,MMbbl,1995,49.0
USA,USA,Million Barrels,MMbbl,1994,47.0
USA,USA,Million Barrels,MMbbl,1993,46.0
USA,USA,Million Barrels,MMbbl,1992,44.0
USA,USA,Million Barrels,MMbbl,1991,44.0
USA,USA,Million Barrels,MMbbl,1990,45.0
USA,USA,Million Barrels,MMbbl,1989,43.0
USA,USA,Million Barrels,MMbbl,1988,40.0
USA,USA,Million Barrels,MMbbl,1987,38.0
USA,USA,Million Barrels,MMbbl,1986,37.0
USA,USA,Million Barrels,MMbbl,1981,38.0
USA-CA,USA-CA,Million Barrels,MMbbl,2019,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2018,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2017,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2016,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2015,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2014,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2013,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2012,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2011,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2010,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2009,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1998,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1997,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1996,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1995,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1994,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1993,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1992,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1991,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1990,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1989,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1988,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1987,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1986,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1982,0.0
USA-CA,USA-CA,Million Barrels,MMbbl,1981,0.0
