iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2008,65
USA,USA,Million Barrels,MMbbl,2007,30
USA,USA,Million Barrels,MMbbl,2006,16
USA,USA,Million Barrels,MMbbl,2005,32
USA,USA,Million Barrels,MMbbl,2004,26
USA,USA,Million Barrels,MMbbl,2003,35
USA,USA,Million Barrels,MMbbl,2002,48
USA,USA,Million Barrels,MMbbl,2001,138
USA,USA,Million Barrels,MMbbl,2000,92
USA,USA,Million Barrels,MMbbl,1999,51
USA,USA,Million Barrels,MMbbl,1998,66
USA,USA,Million Barrels,MMbbl,1997,114
USA,USA,Million Barrels,MMbbl,1996,65
USA,USA,Million Barrels,MMbbl,1995,52
USA,USA,Million Barrels,MMbbl,1994,54
USA,USA,Million Barrels,MMbbl,1993,24
USA,USA,Million Barrels,MMbbl,1992,20
USA,USA,Million Barrels,MMbbl,1991,25
USA,USA,Million Barrels,MMbbl,1990,39
USA,USA,Million Barrels,MMbbl,1989,83
USA,USA,Million Barrels,MMbbl,1988,41
USA,USA,Million Barrels,MMbbl,1987,39
USA,USA,Million Barrels,MMbbl,1986,34
USA,USA,Million Barrels,MMbbl,1985,44
USA,USA,Million Barrels,MMbbl,1984,55
USA,USA,Million Barrels,MMbbl,1983,70
USA,USA,Million Barrels,MMbbl,1982,112
USA,USA,Million Barrels,MMbbl,1981,131
USA,USA,Million Barrels,MMbbl,1980,90
USA,USA,Million Barrels,MMbbl,1979,94
USA,USA,Million Barrels,MMbbl,2008,22
USA,USA,Million Barrels,MMbbl,2007,24
USA,USA,Million Barrels,MMbbl,2006,6
USA,USA,Million Barrels,MMbbl,2005,21
USA,USA,Million Barrels,MMbbl,2004,7
USA,USA,Million Barrels,MMbbl,2003,25
USA,USA,Million Barrels,MMbbl,2002,39
USA,USA,Million Barrels,MMbbl,2001,94
USA,USA,Million Barrels,MMbbl,2000,71
USA,USA,Million Barrels,MMbbl,1999,34
USA,USA,Million Barrels,MMbbl,1998,37
USA,USA,Million Barrels,MMbbl,1997,61
USA,USA,Million Barrels,MMbbl,1996,29
USA,USA,Million Barrels,MMbbl,1995,25
USA,USA,Million Barrels,MMbbl,1994,33
USA,USA,Million Barrels,MMbbl,1993,11
USA,USA,Million Barrels,MMbbl,1992,5
USA,USA,Million Barrels,MMbbl,1991,7
USA,USA,Million Barrels,MMbbl,1990,23
USA,USA,Million Barrels,MMbbl,1989,68
USA,USA,Million Barrels,MMbbl,1988,11
USA,USA,Million Barrels,MMbbl,1987,16
USA,USA,Million Barrels,MMbbl,1986,12
USA,USA,Million Barrels,MMbbl,1981,13
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,0
USA-CA,USA-CA,Million Barrels,MMbbl,1998,0
USA-CA,USA-CA,Million Barrels,MMbbl,1997,0
USA-CA,USA-CA,Million Barrels,MMbbl,1996,0
USA-CA,USA-CA,Million Barrels,MMbbl,1995,0
