iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2008,956
USA,USA,Million Barrels,MMbbl,2007,1030
USA,USA,Million Barrels,MMbbl,2006,924
USA,USA,Million Barrels,MMbbl,2005,863
USA,USA,Million Barrels,MMbbl,2004,734
USA,USA,Million Barrels,MMbbl,2003,629
USA,USA,Million Barrels,MMbbl,2002,612
USA,USA,Million Barrels,MMbbl,2001,717
USA,USA,Million Barrels,MMbbl,2000,645
USA,USA,Million Barrels,MMbbl,1999,313
USA,USA,Million Barrels,MMbbl,1998,383
USA,USA,Million Barrels,MMbbl,1997,535
USA,USA,Million Barrels,MMbbl,1996,451
USA,USA,Million Barrels,MMbbl,1995,432
USA,USA,Million Barrels,MMbbl,1994,314
USA,USA,Million Barrels,MMbbl,1993,245
USA,USA,Million Barrels,MMbbl,1992,190
USA,USA,Million Barrels,MMbbl,1991,189
USA,USA,Million Barrels,MMbbl,1990,299
USA,USA,Million Barrels,MMbbl,1989,259
USA,USA,Million Barrels,MMbbl,1988,268
USA,USA,Million Barrels,MMbbl,1987,213
USA,USA,Million Barrels,MMbbl,1986,263
USA,USA,Million Barrels,MMbbl,1985,337
USA,USA,Million Barrels,MMbbl,1984,348
USA,USA,Million Barrels,MMbbl,1983,321
USA,USA,Million Barrels,MMbbl,1982,375
USA,USA,Million Barrels,MMbbl,1981,542
USA,USA,Million Barrels,MMbbl,1980,418
USA,USA,Million Barrels,MMbbl,1979,364
USA,USA,Million Barrels,MMbbl,2008,29
USA,USA,Million Barrels,MMbbl,2007,36
USA,USA,Million Barrels,MMbbl,2006,31
USA,USA,Million Barrels,MMbbl,2005,29
USA,USA,Million Barrels,MMbbl,2004,44
USA,USA,Million Barrels,MMbbl,2003,33
USA,USA,Million Barrels,MMbbl,2002,43
USA,USA,Million Barrels,MMbbl,2001,64
USA,USA,Million Barrels,MMbbl,2000,75
USA,USA,Million Barrels,MMbbl,1999,25
USA,USA,Million Barrels,MMbbl,1998,38
USA,USA,Million Barrels,MMbbl,1997,53
USA,USA,Million Barrels,MMbbl,1996,99
USA,USA,Million Barrels,MMbbl,1995,107
USA,USA,Million Barrels,MMbbl,1994,40
USA,USA,Million Barrels,MMbbl,1993,33
USA,USA,Million Barrels,MMbbl,1992,16
USA,USA,Million Barrels,MMbbl,1991,24
USA,USA,Million Barrels,MMbbl,1990,15
USA,USA,Million Barrels,MMbbl,1989,19
USA,USA,Million Barrels,MMbbl,1988,25
USA,USA,Million Barrels,MMbbl,1987,12
USA,USA,Million Barrels,MMbbl,1986,24
USA,USA,Million Barrels,MMbbl,1981,27
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,5
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,1999,0
