iso3166,geography,units,unitsshort,period,value
USA,USA,Million Barrels,MMbbl,2008,68
USA,USA,Million Barrels,MMbbl,2007,58
USA,USA,Million Barrels,MMbbl,2006,53
USA,USA,Million Barrels,MMbbl,2005,42
USA,USA,Million Barrels,MMbbl,2004,54
USA,USA,Million Barrels,MMbbl,2003,72
USA,USA,Million Barrels,MMbbl,2002,78
USA,USA,Million Barrels,MMbbl,2001,142
USA,USA,Million Barrels,MMbbl,2000,102
USA,USA,Million Barrels,MMbbl,1999,88
USA,USA,Million Barrels,MMbbl,1998,88
USA,USA,Million Barrels,MMbbl,1997,90
USA,USA,Million Barrels,MMbbl,1996,109
USA,USA,Million Barrels,MMbbl,1995,67
USA,USA,Million Barrels,MMbbl,1994,131
USA,USA,Million Barrels,MMbbl,1993,64
USA,USA,Million Barrels,MMbbl,1992,64
USA,USA,Million Barrels,MMbbl,1991,55
USA,USA,Million Barrels,MMbbl,1990,73
USA,USA,Million Barrels,MMbbl,1989,74
USA,USA,Million Barrels,MMbbl,1988,72
USA,USA,Million Barrels,MMbbl,1987,55
USA,USA,Million Barrels,MMbbl,1986,72
USA,USA,Million Barrels,MMbbl,1985,85
USA,USA,Million Barrels,MMbbl,1984,96
USA,USA,Million Barrels,MMbbl,1983,99
USA,USA,Million Barrels,MMbbl,1982,109
USA,USA,Million Barrels,MMbbl,1981,91
USA,USA,Million Barrels,MMbbl,1980,79
USA,USA,Million Barrels,MMbbl,1979,97
USA,USA,Million Barrels,MMbbl,2008,18
USA,USA,Million Barrels,MMbbl,2007,16
USA,USA,Million Barrels,MMbbl,2006,19
USA,USA,Million Barrels,MMbbl,2005,21
USA,USA,Million Barrels,MMbbl,2004,32
USA,USA,Million Barrels,MMbbl,2003,37
USA,USA,Million Barrels,MMbbl,2002,42
USA,USA,Million Barrels,MMbbl,2001,57
USA,USA,Million Barrels,MMbbl,2000,37
USA,USA,Million Barrels,MMbbl,1999,43
USA,USA,Million Barrels,MMbbl,1998,39
USA,USA,Million Barrels,MMbbl,1997,48
USA,USA,Million Barrels,MMbbl,1996,37
USA,USA,Million Barrels,MMbbl,1995,30
USA,USA,Million Barrels,MMbbl,1994,39
USA,USA,Million Barrels,MMbbl,1993,24
USA,USA,Million Barrels,MMbbl,1992,30
USA,USA,Million Barrels,MMbbl,1991,20
USA,USA,Million Barrels,MMbbl,1990,22
USA,USA,Million Barrels,MMbbl,1989,29
USA,USA,Million Barrels,MMbbl,1988,19
USA,USA,Million Barrels,MMbbl,1987,12
USA,USA,Million Barrels,MMbbl,1986,9
USA,USA,Million Barrels,MMbbl,1981,34
