iso3166,geography,units,unitsshort,period,value
USA-UT,USA-UT,Million Barrels,MMbbl,2008,3
USA-UT,USA-UT,Million Barrels,MMbbl,2007,5
USA-WY,USA-WY,Million Barrels,MMbbl,2008,10
USA-WY,USA-WY,Million Barrels,MMbbl,2007,11
USA,USA,Million Barrels,MMbbl,2008,282
USA,USA,Million Barrels,MMbbl,2007,670
USA,USA,Million Barrels,MMbbl,2006,931
USA,USA,Million Barrels,MMbbl,2005,440
USA,USA,Million Barrels,MMbbl,2004,442
USA,USA,Million Barrels,MMbbl,2003,403
USA,USA,Million Barrels,MMbbl,2002,458
USA,USA,Million Barrels,MMbbl,2001,448
USA,USA,Million Barrels,MMbbl,2000,906
USA,USA,Million Barrels,MMbbl,2008,27
USA,USA,Million Barrels,MMbbl,2007,41
USA,USA,Million Barrels,MMbbl,2006,104
USA,USA,Million Barrels,MMbbl,2005,35
USA,USA,Million Barrels,MMbbl,2004,59
USA,USA,Million Barrels,MMbbl,2003,84
USA,USA,Million Barrels,MMbbl,2002,49
USA,USA,Million Barrels,MMbbl,2001,51
USA,USA,Million Barrels,MMbbl,2000,91
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,7
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,7
USA-CA,USA-CA,Million Barrels,MMbbl,2006,8
USA-CA,USA-CA,Million Barrels,MMbbl,2005,8
USA-CA,USA-CA,Million Barrels,MMbbl,2004,5
USA-CA,USA-CA,Million Barrels,MMbbl,2003,1
USA-CA,USA-CA,Million Barrels,MMbbl,2002,1
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,1
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,2
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,1
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-CA,USA-CA,Million Barrels,MMbbl,2008,0
USA-CA,USA-CA,Million Barrels,MMbbl,2007,0
USA-CA,USA-CA,Million Barrels,MMbbl,2006,0
USA-CA,USA-CA,Million Barrels,MMbbl,2005,0
USA-CA,USA-CA,Million Barrels,MMbbl,2004,0
USA-CA,USA-CA,Million Barrels,MMbbl,2003,0
USA-CA,USA-CA,Million Barrels,MMbbl,2002,0
USA-CA,USA-CA,Million Barrels,MMbbl,2001,0
USA-CA,USA-CA,Million Barrels,MMbbl,2000,0
USA-LA,USA-LA,Million Barrels,MMbbl,2008,11
USA-LA,USA-LA,Million Barrels,MMbbl,2007,27
USA-LA,USA-LA,Million Barrels,MMbbl,2006,2
USA-LA,USA-LA,Million Barrels,MMbbl,2005,1
USA-LA,USA-LA,Million Barrels,MMbbl,2004,8
USA-LA,USA-LA,Million Barrels,MMbbl,2003,4
USA-LA,USA-LA,Million Barrels,MMbbl,2002,3
USA-LA,USA-LA,Million Barrels,MMbbl,2001,2
USA-LA,USA-LA,Million Barrels,MMbbl,2000,2
USA-LA,USA-LA,Million Barrels,MMbbl,2008,1
USA-LA,USA-LA,Million Barrels,MMbbl,2007,5
USA-LA,USA-LA,Million Barrels,MMbbl,2006,4
USA-LA,USA-LA,Million Barrels,MMbbl,2005,3
USA-LA,USA-LA,Million Barrels,MMbbl,2004,7
USA-LA,USA-LA,Million Barrels,MMbbl,2003,7
USA-LA,USA-LA,Million Barrels,MMbbl,2002,0
USA-LA,USA-LA,Million Barrels,MMbbl,2001,5
USA-LA,USA-LA,Million Barrels,MMbbl,2000,5
USA-LA,USA-LA,Million Barrels,MMbbl,2008,7
USA-LA,USA-LA,Million Barrels,MMbbl,2007,10
USA-LA,USA-LA,Million Barrels,MMbbl,2006,18
USA-LA,USA-LA,Million Barrels,MMbbl,2005,7
USA-LA,USA-LA,Million Barrels,MMbbl,2004,17
USA-LA,USA-LA,Million Barrels,MMbbl,2003,12
USA-LA,USA-LA,Million Barrels,MMbbl,2002,18
USA-LA,USA-LA,Million Barrels,MMbbl,2001,35
USA-LA,USA-LA,Million Barrels,MMbbl,2000,22
USA-NM,USA-NM,Million Barrels,MMbbl,2008,18
USA-NM,USA-NM,Million Barrels,MMbbl,2007,21
